"","...1","Iron","Cobalt","Copper","Zinc","Cadmium","Manganese","MouseID","SampleType","Genotype","Sex"
"111","K6 TS-COL","178.783","0.112",14.453,193.82,"0.04",14.286,"K6","TS-COL","MUT","Female"
"112","K7 TS-COL","135.344","0.114",12.158,160.071,"0.043",14.097,"K7","TS-COL","MUT","Female"
"113","K8 TS-COL","154.084","0.125",14.865,188.777,"0.044",15.132,"K8","TS-COL","MUT","Female"
"114","K9 TS-COL","78.639","0.048",7.589,97.627,"0.022",6.37,"K9","TS-COL","MUT","Female"
"115","Y10_TS-COL","141.885","0.216",20.248,169.287,"0.012",12.396,"Y10","TS-COL","MUT","Male"
"116","Y11_TS-COL","196.998","0.367",21.784,192.539,"0.024",25.904,"Y11","TS-COL","MUT","Male"
"117","Y12_TS-COL","103.275","0.187",18.084,136.114,"0.01",12.914,"Y12","TS-COL","MUT","Male"
"118","Y13_TS-COL","151.471","0.309",17.075,141.938,"0.016",24.079,"Y13","TS-COL","MUT","Male"
"119","Y14_TS-COL","153.168","0.309",20.201,167.471,"0.018",24.303,"Y14","TS-COL","MUT","Male"
"120","Y5_TS-COL","109.451","0.106",15.679,131.771,"n/a",10.885,"Y5","TS-COL","MUT","Male"
"121","Y6_TS-COL","92.209","0.121",13.35,111.245,"n/a",12.264,"Y6","TS-COL","MUT","Male"
"122","Y7_TS-COL","105.342","0.092",11.934,106.041,"n/a",8.95,"Y7","TS-COL","MUT","Male"
"123","Y8_TS-COL","134.303","0.109",14.03,141.165,"n/a",10.32,"Y8","TS-COL","MUT","Male"
"124","Y9_TS-COL","145.041","0.164",19.884,169.096,"0.012",12.299,"Y9","TS-COL","MUT","Male"
"125","G10_Blood","3725.813","0.021",2.629,23.72,"0",0.061,"G10","Blood","WT","Male"
"126","G11_Blood","3164.237","0.013",2.286,22.854,"0",0.055,"G11","Blood","WT","Male"
"127","G12_Blood","3123.429","0.015",2.813,23.05,"0.004",0.145,"G12","Blood","WT","Male"
"128","G13_Blood","2932.138","0.014",2.334,21.109,"0",0.049,"G13","Blood","WT","Male"
"129","G15_Blood","3881.182","0.022",3.389,29.672,"0",0.064,"G15","Blood","WT","Male"
"130","G16_Blood","3962.776","0.031",3.826,30.58,"0",0.07,"G16","Blood","WT","Male"
"131","G17_Blood","3069.892","0.008",2.847,21.914,"0",0.083,"G17","Blood","WT","Male"
"132","G6_Blood","3944.658","0.007",3.272,30.77,"0",0.064,"G6","Blood","WT","Male"
"133","G7_Blood","4144.641","0.008",3.481,32.881,"0",0.065,"G7","Blood","WT","Male"
"134","G8_Blood","3577.137","0.007",2.963,27.134,"0",0.118,"G8","Blood","WT","Male"
"135","J1_Blood","4442.122","0.007",4.027,32.603,"0",0.122,"J1","Blood","WT","Female"
"136","J10_Blood","3993.47","0.012",4.28,32.629,"0",0.07,"J10","Blood","WT","Female"
"137","J11_Blood","4422.108","0.009",4.6,35.152,"0",0.111,"J11","Blood","WT","Female"
"138","J14_Blood","3033.538","0.007",2.997,23.747,"0",0.084,"J14","Blood","WT","Female"
"139","J2_Blood","3172.961","0.196",11.128,36.117,"0",0.097,"J2","Blood","WT","Female"
"140","J3_Blood","3468.668","0.008",3.012,28.337,"0",0.078,"J3","Blood","WT","Female"
"141","J5_Blood","3140.815","0.006",3.06,24.787,"0",0.082,"J5","Blood","WT","Female"
"142","J7_Blood","3360.735","0.007",3.747,28.097,"0",0.102,"J7","Blood","WT","Female"
"143","J8_Blood","4056.275","0.008",3.877,32.565,"0",0.102,"J8","Blood","WT","Female"
"144","J9_Blood","4171.654","0.009",4.281,35.652,"0",0.116,"J9","Blood","WT","Female"
"145","K1_Blood","3946.661","0.016",4.32,33.85,"0",0.113,"K1","Blood","MUT","Female"
"146","K10_Blood","4128.771","0.069",4.022,33.811,"0",0.102,"K10","Blood","MUT","Female"
"147","K11_Blood","3856.889","0.006",3.514,32.964,"0",0.099,"K11","Blood","MUT","Female"
"148","K2_Blood","3349.373","0.01",4.493,28.002,"0",0.078,"K2","Blood","MUT","Female"
"149","K3_Blood","3210.377","0.01",3.524,26.655,"0",0.085,"K3","Blood","MUT","Female"
"150","K5_Blood","2905.903","0.013",2.595,23.837,"0",0.07,"K5","Blood","MUT","Female"
"151","K6_Blood","3024.732","0.005",2.953,23.661,"0",0.061,"K6","Blood","MUT","Female"
"152","K7_Blood","3885.702","0.014",4.973,36.231,"0",0.163,"K7","Blood","MUT","Female"
"153","K8_Blood","4209.276","0.008",4.064,36.664,"0",0.099,"K8","Blood","MUT","Female"
"154","K9_Blood","3956.76","0.035",7.887,34.687,"0",0.105,"K9","Blood","MUT","Female"
"155","Y10_Blood","4256.408","0.071",4.888,39.98,"0",0.068,"Y10","Blood","MUT","Male"
"156","Y11_Blood","3649.271","0.01",3.52,31.191,"0",0.048,"Y11","Blood","MUT","Male"
"157","Y12_Blood","3718.783","0.021",3.438,32.59,"0",0.057,"Y12","Blood","MUT","Male"
"158","Y13_Blood","2465.411","0.016",2.291,21.229,"0",0.033,"Y13","Blood","MUT","Male"
"159","Y14_Blood","2505.779","0.017",2.082,20.446,"0",0.028,"Y14","Blood","MUT","Male"
"160","Y5_Blood","3797.076","0.008",3.862,35.633,"0",0.056,"Y5","Blood","MUT","Male"
"161","Y6_Blood","2756.394","0.019",2.605,23.094,"0",0.037,"Y6","Blood","MUT","Male"
"162","Y7_Blood","3963.336","0.043",3.407,35.953,"0",0.052,"Y7","Blood","MUT","Male"
"163","Y8_Blood","3630.646","0.04",3.435,34.932,"0",0.076,"Y8","Blood","MUT","Male"
"164","Y9_Blood","3788.66","0.018",3.396,40.123,"0",0.08,"Y9","Blood","MUT","Male"
