OTU ID	SLCLTFP004	SLCLTFP005	SLCLTFP006	SLCLTFP010	SLCLTFP011	SLCLTFP012	SLCLTFP016	SLCLTFP017	SLCLTFP018	SLCLTFP022	SLCLTFP023	SLCLTFP024	SLCLTFP028	SLCLTFP029	SLCLTFP030	SLCLTFP034	SLCLTFP035	SLCLTFP036	SLCLTFP040	SLCLTFP041	SLCLTFP042	SLCLTFP046	SLCLTFP047	SLCLTFP048	SLCLTFP052	SLCLTFP053	SLCLTFP054	SLCLTFP058	SLCLTFP059	SLCLTFP060	SLCLTFP064	SLCLTFP065	SLCLTFP066	SLCLTFP070	SLCLTFP071	SLCLTFP072	SLCLTFP076	SLCLTFP077	SLCLTFP078	SLCLTFP082	SLCLTFP083	SLCLTFP084	SLCLTFP094	SLCLTFP095	SLCLTFP096	SLCLTFP100	SLCLTFP101	SLCLTFP102	SLCLTFP106	SLCLTFP107	SLCLTFP108	SLCLTFP112	SLCLTFP113	SLCLTFP114	SLCLTFP118	SLCLTFP119	SLCLTFP120	SLCLTFP124	SLCLTFP125	SLCLTFP126	SLCLTFP130	SLCLTFP131	SLCLTFP132	SLCLTFP136	SLCLTFP137	SLCLTFP138	SLCLTFP142	SLCLTFP143	SLCLTFP144	SLCLTFP148	SLCLTFP149	SLCLTFP150	SLCLTFP154	SLCLTFP155	SLCLTFP156	SLCLTFP160	SLCLTFP161	SLCLTFP162	SLCLTFP166	SLCLTFP167	SLCLTFP168	SLCLTFP172	SLCLTFP173	SLCLTFP174	SLCLTFP178	SLCLTFP179	SLCLTFP180	SLCLTFP184	SLCLTFP185	SLCLTFP186	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	33	37	50	77	19	29	471	638	538	20	30	15	24	11	0	356	100	39	30	29	23	54	29	14	0	269	606	31	250	1030	430	693	2091	57	210	445	338	486	429	669	1450	1238	310	41	2334	267	91	40	91	118	805	734	312	882	53	79	193	688	684	1024	45	66	1444	365	1635	971	161	340	383	0	23	409	0	708	355	0	425	27	2474	2330	50	322	389	510	121	637	1193	111	505	292	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	75	492	553	47	102	76	54	1537	49	50	74	37	69	116	99	45	54	35	57	60	50	59	46	42	172	7403	4637	151	1112	991	53	53	66	43	68	71	49	55	68	62	101	68	41	29	64	55	51	43	54	46	32	51	33	43	2583	744	227	63	49	52	51	33	39	42	48	52	33	37	39	26	37	2296	51	111	787	62	235	47	95	70	20	262	166	230	47	75	200	69	47	21	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356	0	0	34	31	18	22	17	25	17	14	15	7	46	28	22	21	32	27	35	46	37	17	23	0	22	23	54	21	0	16	0	0	15	28	15	9	0	24	0	0	27	0	0	11	80	29	0	19	28	11	18	73	13	30	0	0	0	21	0	16	0	0	290	0	13	21	16	55	46	22	21	321	26	184	254	21	24	22	174	882	9	20	15	15	35	137	18	35	36	20	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	0	0	0	0	10	12	11	12	0	6	0	0	0	0	0	4	0	14	0	0	0	0	7	12	0	0	19	9	0	8	13	25	11	13	0	3	14	13	0	13	7	3	0	0	194	10	0	9	18	0	13	20	8	0	0	0	3	11	0	0	0	0	158	0	5	8	8	0	0	5	0	257	0	156	130	0	11	10	278	762	4	12	0	0	28	86	0	14	9	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0	17	27	0	0	14	0	33	15	0	0	0	11	0	0	15	0	12	0	0	0	6	0	0	0	55	29	0	6	0	46	50	14	17	0	0	3	10	0	9	20	0	0	0	284	7	0	0	7	0	4	79	0	0	6	0	0	28	6	22	0	0	703	7	14	0	81	68	197	122	56	220	0	2180	71	0	27	0	268	1319	0	9	21	0	120	232	56	57	76	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__28-4	55	54	83	43	33	43	31	32	41	34	30	0	51	41	35	37	25	27	45	44	33	47	59	72	34	49	43	46	63	45	37	38	46	48	35	48	46	41	38	71	63	35	45	0	59	42	36	34	57	31	60	52	41	35	64	0	20	53	45	43	36	32	596	37	30	38	35	39	62	32	47	138	39	666	132	67	41	46	39	59	21	35	44	33	36	49	16	49	39	13	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0	19	56	8	8	16	14	29	9	0	0	0	0	16	0	0	0	0	0	0	0	19	9	10	0	16	47	0	12	18	79	70	12	22	29	11	37	21	16	40	47	0	40	17	47	28	20	12	28	22	21	155	34	55	0	0	0	19	20	11	0	0	717	15	22	9	0	42	23	38	0	706	0	924	395	0	22	16	515	2215	16	26	26	22	31	317	9	29	28	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	16	30	6	0	0	0	19	59	0	14	0	0	17	0	0	21	23	0	0	0	0	0	19	18	15	20	132	23	19	0	120	134	41	0	45	49	37	0	0	40	59	0	115	0	534	72	31	24	51	0	51	199	54	46	0	0	0	45	34	0	17	0	841	24	70	25	36	42	18	18	19	598	0	885	443	0	39	43	687	1624	12	36	31	0	89	332	15	34	127	18	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	24	0	18	21	9	26	15	90	23	23	39	13	13	19	19	10	27	20	17	8	0	18	13	16	0	20	64	23	25	36	16	22	37	0	27	49	14	30	59	16	46	31	11	6	93	20	16	14	25	20	32	32	21	27	39	24	32	28	20	30	18	15	770	29	21	30	18	16	11	11	13	642	11	475	1229	19	28	30	414	274	4	18	24	22	17	46	13	25	24	20	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group	19	38	68	14	9	0	13	68	30	0	40	23	0	12	9	41	21	24	13	14	10	0	14	22	18	96	195	0	24	66	128	148	197	17	26	172	19	18	61	64	74	346	148	21	695	82	33	0	50	23	186	265	43	106	0	10	0	84	63	36	0	0	1307	59	131	74	52	76	68	0	0	168	0	354	111	0	18	0	560	1335	14	12	33	130	57	180	80	52	178	17	
